Branding,DPA 1,DPA 3,DRA 1,DRA 3,Display 1,Display 2,Rmkt 1,Rmkt 3,Rmkt 6,Rmkt 7,Search 1,Search 2,Search 3,Search 4,Search 5,Search 6,Shopping 1,Shopping 2,Shopping 3,Shopping 4,Shopping 5,Shopping 6,Shopping 7,Flag,leads
67.1776466498,0.0,0.0,0.0,0.0,552.287328764,0.0,0.0,0.0,20.51980541312,0.0,3353.5943684,450.8607604,75.7181208,71.6463696,0.0,965.9509968,235.222462,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3420.8859726724,8786.1399,0.0,5737.04191692,0.0,2071.13617709,1366.9773612,35.3502036,0.0,25.27531537284,0.0,7306.2365636,422.8589024,87.57007,344.762166,0.0,694.082774,2146.8342476,531.8913512,0.0,0.0,0.0,33.3965856,0.0,0,0
4207.94278934116,6004.4757696,0.0,12306.35800488,0.0,4229.7372441288,2713.17542442,206.8915736,0.0,38.46005019164,0.0,7889.4360928,581.5132484,102.7054684,684.8150844,0.0,2539.4840464,2261.1654568,2069.69942609056,282.4040504,102.513534,0.0,380.9349456,0.0,0,0
6328.72401366172,359.465712,0.0,0.0,34.9457704,4829.94828936,1913.0181026584,88.015632,0.0,33.3666027048,0.0,2879.3655948,1647.3661004,109.3203504,79.7076144,0.0,559.2899868,765.4823708,2259.4691131536,197.91714811004,197.1646124,0.0,66.560108,0.0,0,0
2165.95165690032,1637.7556708,0.0,727.4906905844,0.0,4956.284104156,1766.960185122,749.2913332,0.0,34.49978066048,0.0,1246.0792536,800.9559608,13.5656492,309.3091404,0.0,421.5222164,257.3840304,3518.026591046,272.718800658,1033.2788424,0.0,55.112592,0.0,1,0
82.7494319,0.0,0.0,4.39899866652,0.0,586.867943968,0.0,0.0,0.0,15.00066936244,0.0,2209.1375248,205.7536768,121.3847984,69.6653324,0.0,322.929628,138.12422,0.0,0.0,0.0,0.0,0.0,0.0,0,1
7179.241951113,2392.7090688,0.0,1746.3168521,34.1437588,1350.54023628,2764.157176844,1491.0012576,0.0,35.92218661996,0.0,4999.8705556,704.2484424,59.8286944,2802.41361,0.0,925.5830796,755.5086368,2204.53748513168,0.0,393.7122928,0.0,289.2862696,0.0,0,1
3169.370555906,1433.3249704,0.0,1752.728694924,33.8490024,4841.719831756,2658.2762017796,1386.3558808,0.0,34.14530524288,0.0,12244.7703688,703.6657844,180.3223688,1018.2942496,0.0,681.7167148,671.9486248,2462.00511872892,492.17778909512,552.6545404,0.0,284.851214,0.0,0,1
5866.1531682606,4580.8709056,0.0,911.2373130312,0.0,2765.013889748,3381.4536671244,1436.320518,0.0,32.8088002096,0.0,1256.2243576,1600.2462052,105.0292456,680.5651084,0.0,459.854258,250.5497948,2908.959000264,391.73394747996,1534.7074624,0.0,428.5895152,0.0,1,1
2783.9417508042,2081.0761512,0.0,67.2206091088,0.0,1561.190570912,1670.9571413728,445.287808,0.0,34.5212046524,0.0,1322.393742,870.7583892,7.2455236,776.100456,0.0,430.8995828,313.0381516,4349.2328288022,496.38266942236,1019.8982728,0.0,54.3311448,0.0,1,1
